tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;n_rtup_usaha_selain_ternak_besar_produksi_daging;n_rtup_usaha_selain_ternak_besar_produksi_susu_segar;n_rtup_usaha_selain_ternak_besar_produksi_telur_konsumsi;n_rtup_usaha_selain_ternak_besar_produksi_telur_tetas;n_rtup_usaha_selain_ternak_besar_produksi_semen_ternak;n_rtup_usaha_selain_ternak_besar_produksi_embrio;n_rtup_usaha_selain_ternak_besar_produksi_madu;n_rtup_usaha_selain_ternak_besar_produksi_liur_atau_sarang;n_rtup_usaha_selain_ternak_besar_produksi_bulu;n_rtup_usaha_selain_ternak_besar_produksi_kepompong;n_rtup_usaha_selain_ternak_besar_produksi_kulit;n_rtup_usaha_selain_ternak_besar_produksi_lilin_malam;jumlah;n_rtup_usaha_selain_ternak_besar
BAB_6_tabel_6_19_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310041] WAIGETE;53;5310;5310041;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_19_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310042] WAIBLAMA;53;5310;5310042;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_19_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310050] KEWAPANTE;53;5310;5310050;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_19_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310051] HEWOKLOANG;53;5310;5310051;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_19_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310052] KANGAE;53;5310;5310052;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_19_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310061] PALUE;53;5310;5310061;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_19_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310062] KOTING;53;5310;5310062;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_19_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310063] NELLE;53;5310;5310063;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_19_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310070] NITA;53;5310;5310070;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_19_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310071] MAGEPANDA;53;5310;5310071;0;0;0;0;0;0;0;0;0;0;0;0;0;0
