"id_prov";"id_kab";"id_kategori_luas_lahan";"id_kec";"prov";"kab";"kec";"kategori_luas_lahan";"n_utp_kategori_luas_lahan";"n_upb_kategori_luas_lahan";"n_utl_kategori_luas_lahan"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"8";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"100-199";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"10-19,99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"1-1,99";"255.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"9";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"200-499";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"20-49,99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"2-4,99";"55.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"10";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"500-999";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"50-99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"5-9,99";"4.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0.1";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"Usaha Pertanian Tanpa Lahan Pertanian";"15.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0.2";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"Usaha Pertanian yang Menguasai Lahan Pertanian (>0 ha)";"1761.00";"0.00";"0.00"
